UserID;ScenarioID;controlMode;requestID;elapsedTimeSinceAccess;distanceTravelledSinceLastLog;distanceToEndOfInstructedPath;lengthOfCurrentInstructedPath;lengthOfCurrentInstructedInputPath;distanceToEnd;vehiclePosition;vehicleSpeed;constructionSiteEntered;endReached;closestLane;currentLaneDeviation;timeOfCollisionAvoidanceTraffic;timeOfCollisionAvoidanceObstacle;timeOfCollisionAvoidancePedestrian;amountOfAdditionInput;amountOfAdditionMarkers;amountOfSnapToMiddleInput;amountOfSnapToMiddleMarkers;amountOfReadjustmentInput;timeSinceLastInput;currentlyNeglectedTime;blindTimeSum;isMainRequest;isSecondaryRequest;totalRequestAmount;sideOfConstructionSite;
AS21;-3;Waypoint;1;3,9;1,738459;169,5977;163,7725;163,7725;567,3068;(-8.90, -0.44, 26.94);52,50732;False;False;1;0,2002628;0,00;0,00;0,00;0;0;0;0;0;3,9;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;4,0;1,522717;168,075;162,6297;162,6297;565,7842;(-9.30, -0.44, 28.21);53,54894;False;False;1;0,2035086;0,00;0,00;0,00;0;0;0;0;0;4,0;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;4,1;1,813737;166,2613;160,344;160,344;563,9708;(-9.78, -0.44, 29.73);54,76361;False;False;1;0,2087284;0,00;0,00;0,00;0;0;0;0;0;4,1;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;4,2;1,852904;164,4084;158,6297;158,6297;562,1181;(-10.26, -0.44, 31.27);55,9385;False;False;1;0,214311;0,00;0,00;0,00;0;0;0;0;0;4,2;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;4,3;1,619926;162,7885;156,9155;156,9155;560,4985;(-10.69, -0.44, 32.62);56,9433;False;False;1;0,2195014;0,00;0,00;0,00;0;0;0;0;0;4,3;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;4,4;1,926085;160,8625;155,2014;155,2014;558,5727;(-11.19, -0.44, 34.23);58,11942;False;False;1;0,225879;0,00;0,00;0,00;0;0;0;0;0;4,4;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;4,5;1,963894;158,8987;152,9157;152,9157;556,609;(-11.71, -0.44, 35.87);59,24103;False;False;1;0,2319649;0,00;0,00;0,00;0;0;0;0;0;4,5;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;4,6;2,00192;156,8968;151,2014;151,2014;554,6075;(-12.24, -0.44, 37.54);60,06805;False;False;1;0,2384855;0,00;0,00;0,00;0;0;0;0;0;4,6;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;4,7;1,745306;155,1515;148,9158;148,9158;552,8624;(-12.70, -0.44, 39.00);61,32196;False;False;1;0,2442365;0,00;0,00;0,00;0;0;0;0;0;4,7;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;4,8;2,069908;153,0817;147,2015;147,2015;550,7929;(-13.24, -0.44, 40.73);62,42874;False;False;1;0,2511582;0,00;0,00;0,00;0;0;0;0;0;4,8;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;4,9;2,106596;150,9752;145,4873;145,4873;548,6866;(-13.80, -0.44, 42.48);63,20078;False;False;1;0,2584438;0,00;0,00;0,00;0;0;0;0;0;4,9;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;5,0;1,833787;149,1415;143,2015;143,2015;546,8531;(-14.28, -0.44, 44.01);64,41239;False;False;1;0,2649598;0,00;0,00;0,00;0;0;0;0;0;5,0;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;5,1;2,171916;146,9696;140,9158;140,9158;544,6815;(-14.85, -0.44, 45.83);65,47593;False;False;1;0,2726681;0,00;0,00;0,00;0;0;0;0;0;5,1;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;5,2;2,206736;144,7629;139,2015;139,2015;542,4752;(-15.43, -0.44, 47.67);66,19436;False;False;1;0,275096;0,00;0,00;0,00;0;0;0;0;0;5,2;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;5,3;1,918514;142,8444;136,9157;136,9157;540,5566;(-15.93, -0.44, 49.27);67,36616;False;False;1;0,2709772;0,00;0,00;0,00;0;0;0;0;0;5,3;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;5,4;2,269474;140,575;134,63;134,63;538,2874;(-16.51, -0.44, 51.17);68,40302;False;False;1;0,2643167;0,00;0,00;0,00;0;0;0;0;0;5,4;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;5,5;2,303814;138,2711;132,3442;132,3442;535,9837;(-17.10, -0.44, 53.10);69,12695;False;False;1;0,2576064;0,00;0,00;0,00;0;0;0;0;0;5,5;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;5,6;2,001552;136,2696;130,0584;130,0584;533,9823;(-17.62, -0.44, 54.77);70,28288;False;False;1;0,2518676;0,00;0,00;0,00;0;0;0;0;0;5,6;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;5,7;2,366155;133,9035;127,7727;127,7727;531,6163;(-18.23, -0.44, 56.75);71,25715;False;False;1;0,2453719;0,00;0,00;0,00;0;0;0;0;0;5,7;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;5,8;2,399419;131,504;126,0585;126,0585;529,2171;(-18.85, -0.44, 58.75);71,9885;False;False;1;0,2396419;0,00;0,00;0,00;0;0;0;0;0;5,8;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;5,9;2,082377;129,4217;123,2014;123,2014;527,1348;(-19.39, -0.44, 60.49);73,10938;False;False;1;0,2350316;0,00;0,00;0,00;0;0;0;0;0;5,9;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;6,0;2,459289;126,9624;120,9156;120,9156;524,6757;(-20.02, -0.44, 62.55);74,05547;False;False;1;0,2299248;0,00;0,00;0,00;0;0;0;0;0;6,0;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;6,1;2,491762;124,4706;118,6299;118,6299;522,1841;(-20.67, -0.44, 64.63);74,76673;False;False;1;0,2255419;0,00;0,00;0,00;0;0;0;0;0;6,1;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;6,2;2,161223;122,3094;116,3442;116,3442;520,0229;(-21.22, -0.44, 66.44);75,85516;False;False;1;0,222231;0,00;0,00;0,00;0;0;0;0;0;6,2;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;6,3;2,550073;119,7594;113,487;113,487;517,4732;(-21.88, -0.44, 68.57);76,76121;False;False;1;0,2187519;0,00;0,00;0,00;0;0;0;0;0;6,3;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;6,4;2,582064;117,1773;111,7727;111,7727;514,8913;(-22.55, -0.44, 70.73);77,56699;False;False;1;0,2165478;0,00;0,00;0,00;0;0;0;0;0;6,4;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;6,5;2,236365;114,941;108,9154;108,9154;512,6551;(-23.13, -0.44, 72.60);78,51109;False;False;1;0,2156535;0,00;0,00;0,00;0;0;0;0;0;6,5;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;6,6;2,638037;112,303;106,0584;106,0584;510,0173;(-23.81, -0.44, 74.81);79,38616;False;False;1;0,2153324;0,00;0,00;0,00;0;0;0;0;0;6,6;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;6,7;2,666674;109,6363;103,7727;103,7727;507,3507;(-24.50, -0.44, 77.04);80,16371;False;False;1;0,2166223;0,00;0,00;0,00;0;0;0;0;0;6,7;0,0;0,0;True;False;-1;Left;
